created_at,default_profile,description,favourites_count,followers_count,friends_count,location,screen_name,statuses_count,verified,account_age_days,account_type
2015-01-18 09:58:56,True,,609,264,345,unknown,tizianafu,4488,False,2040,bot
2010-03-23 04:02:55,True,作家。Writer ◆公式サイト https://t.co/hTEcx4xIxb ◆オンラインサロン「近現代を読む」 https://t.co/3bUoQJC7Mk ◆facebook https://t.co/dal2vjsZIs ◆ 著作集「日本の近代」 https://t.co/yo6gnTYG2i,1202,1146987,472,東京,inosenaoki,27506,True,3802,human
2016-09-14 18:58:16,True,,2051,20,0,"Hollywood, FL",Beauttykills_,2853,False,1434,bot
2012-02-26 21:48:08,True,Supporter of President Trump TRUMP TRAIN 🚂  God Bless America Born Free 64 🙏4 🇺🇸,61336,2708,3255,"Tennessee, USA",dmgmater64,72365,False,3096,human
2012-05-06 06:11:51,True,! ➿مصور هاوي ولست بمحترف➿ بني_شهر( ) #عسير#المجاردة# https://t.co/V7aNzecrzAأنا موجود في مفضلتي حياكم,805,44985,49067,المملكة العربية السعودية,aassppmm,71305,False,3027,bot
2017-06-07 02:00:02,True,,438,2,58,"Colorado, USA",AaronCB33,682,False,1169,bot
2012-03-31 06:51:45,False,BJP Floor Leader - MLA - Goshamahal / Official Twitter Account,1076,382783,29,Bhagyanagar (Hyderabad),TigerRajaSingh,6114,True,3063,human
2016-11-11 03:59:17,True,".Black Lives Matter. Treat People With Kindness.          
(They/She)",78665,396,357,unknown,ez_in_stripes,34494,False,1377,human
2009-05-28 09:56:17,False,Broadcaster & Author • I talk about politics & AI • 🇩🇪 🇳🇵🇬🇧 • '#Deepfakes and the Infocalypse' - Out now: https://t.co/OWc9B2uluw,6408,43528,5410,London,NinaDSchick,12633,True,4101,human
2009-12-27 19:22:40,False,"| Cristão | Casado | Escritor | Empresário | Redator & Editor de TV | Life-Career Coach de vários artistas, atletas & políticos - Brasil & EUA |",4286,150121,0,Brazil,martinsfranklin,12824,False,3887,human
2008-12-18 04:01:47,False,Stand up comic/mixed martial arts fanatic/psychedelic adventurer Host of The Joe Rogan Experience #FreakParty https://t.co/caBUmcvqBY,817,6507777,3881,unknown,joerogan,45545,True,4262,human
2013-09-10 07:00:32,True,,1555,15,0,CHINA,danlymour,2332,False,2535,bot
